epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,144.548,1.63944,3.05865,1.33569,0.53392,0.44828,0.41367,0.20092,1.58132,3.04679,1.20648,0.000659004,0.000659004,0.000659004
2,244.056,1.684,2.24397,1.35104,0.45968,0.66667,0.546,0.24898,1.68651,2.21007,1.43294,0.00119443,0.00119443,0.00119443
3,350.789,1.70594,2.05847,1.41721,0.66492,0.47902,0.54077,0.26685,1.7489,3.3709,1.47365,0.00159785,0.00159785,0.00159785
4,439.376,1.70729,1.92026,1.41127,0.73336,0.7931,0.76848,0.35688,1.53509,2.19133,1.32337,0.001406,0.001406,0.001406
5,535.923,1.60115,1.74282,1.33496,0.90408,0.68966,0.80558,0.36903,1.60835,1.55087,1.30374,0.001208,0.001208,0.001208
6,638.074,1.52031,1.58493,1.30601,0.86027,0.77011,0.87914,0.43167,1.55516,1.57886,1.28546,0.00101,0.00101,0.00101
7,746.806,1.51428,1.48921,1.3011,0.81999,0.72414,0.76763,0.36823,1.67175,1.35589,1.31225,0.000812,0.000812,0.000812
8,834.294,1.42602,1.36973,1.22828,0.84106,0.64368,0.65281,0.32639,1.56732,1.38378,1.27651,0.000614,0.000614,0.000614
9,919.235,1.38987,1.28661,1.22676,0.81731,0.71993,0.72275,0.40571,1.46729,1.26976,1.23969,0.000416,0.000416,0.000416
10,1027.46,1.33105,1.23896,1.18643,0.86679,0.83908,0.83349,0.43988,1.52037,1.19785,1.23809,0.000218,0.000218,0.000218
