epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,73.8214,1.58119,2.71848,1.28853,0.81722,0.49425,0.67089,0.32508,1.50718,2.56845,1.16738,0.000659004,0.000659004,0.000659004
2,127.377,1.58781,1.96585,1.28861,0.61188,0.74713,0.62091,0.28428,1.69056,2.10501,1.28223,0.00129286,0.00129286,0.00129286
3,177.536,1.62432,1.76888,1.33134,0.75531,0.74713,0.75264,0.35309,1.67684,2.71324,1.36842,0.00189372,0.00189372,0.00189372
4,241.789,1.67436,1.74742,1.36659,0.80484,0.52874,0.61344,0.3201,1.62155,1.87323,1.35665,0.0018515,0.0018515,0.0018515
5,311.978,1.60772,1.56521,1.3428,0.80671,0.68966,0.75439,0.37421,1.69387,1.8113,1.43893,0.001802,0.001802,0.001802
6,394.231,1.63866,1.57238,1.34985,0.85974,0.7046,0.80418,0.36698,1.76352,1.72556,1.38549,0.0017525,0.0017525,0.0017525
