frame,objeto,confianza,id,matricula
374,plate,0.16,-1,
375,plate,0.15,-1,
376,plate,0.16,-1,
377,plate,0.19,-1,
378,plate,0.19,-1,
379,plate,0.17,-1,
380,plate,0.17,-1,
381,plate,0.18,-1,
382,plate,0.14,-1,
383,plate,0.13,-1,
384,plate,0.10,-1,
385,plate,0.11,-1,
386,plate,0.12,-1,
387,plate,0.10,-1,
389,plate,0.11,-1,
390,plate,0.10,-1,
469,plate,0.10,-1,
470,plate,0.10,-1,
495,plate,0.10,-1,
496,plate,0.10,-1,
519,plate,0.10,-1,
574,plate,0.10,-1,
575,plate,0.11,-1,
576,plate,0.13,-1,
577,plate,0.12,-1,
578,plate,0.11,-1,
579,plate,0.10,-1,
580,plate,0.10,-1,
581,plate,0.11,-1,
582,plate,0.10,-1,
583,plate,0.11,-1,
584,plate,0.13,-1,
585,plate,0.12,-1,
587,plate,0.11,-1,
588,plate,0.11,-1,
593,plate,0.10,-1,
594,plate,0.11,-1,
595,plate,0.12,-1,
596,plate,0.13,-1,
597,plate,0.14,-1,
598,plate,0.14,-1,
599,plate,0.14,-1,
600,plate,0.14,-1,
601,plate,0.15,-1,
602,plate,0.14,-1,
603,plate,0.12,-1,
604,plate,0.16,-1,
605,plate,0.17,-1,
606,plate,0.19,-1,
607,plate,0.14,-1,
608,plate,0.16,-1,
609,plate,0.16,-1,
610,plate,0.18,-1,
611,plate,0.16,-1,
612,plate,0.15,-1,
613,plate,0.17,-1,
614,plate,0.20,-1,
615,plate,0.20,-1,
616,plate,0.18,-1,
617,plate,0.12,-1,
618,plate,0.14,-1,
619,plate,0.23,-1,
619,plate,0.10,-1,
619,plate,0.10,-1,
620,plate,0.31,-1,
620,plate,0.11,-1,
621,plate,0.28,-1,
622,plate,0.18,-1,
623,plate,0.15,-1,
624,plate,0.18,-1,
624,plate,0.10,-1,
625,plate,0.21,-1,
625,plate,0.12,-1,
626,plate,0.17,-1,
627,plate,0.17,-1,
628,plate,0.18,-1,
629,plate,0.16,-1,
630,plate,0.18,-1,
631,plate,0.18,-1,
632,plate,0.16,-1,
633,plate,0.16,-1,
634,plate,0.19,-1,
635,plate,0.18,-1,
636,plate,0.18,-1,
637,plate,0.20,-1,
638,plate,0.23,-1,
639,plate,0.20,-1,
640,plate,0.25,-1,
641,plate,0.24,-1,
642,plate,0.19,-1,
643,plate,0.15,-1,
644,plate,0.19,-1,
645,plate,0.14,-1,
646,plate,0.13,-1,
647,plate,0.12,-1,
648,plate,0.12,-1,
649,plate,0.11,-1,
650,plate,0.12,-1,
651,plate,0.12,-1,
652,plate,0.11,-1,
653,plate,0.10,-1,
671,plate,0.12,-1,
671,plate,0.11,-1,
672,plate,0.14,-1,
672,plate,0.11,-1,
673,plate,0.15,-1,
673,plate,0.13,-1,
673,plate,0.10,-1,
674,plate,0.13,-1,
674,plate,0.12,-1,
675,plate,0.10,-1,
676,plate,0.11,-1,
677,plate,0.10,-1,
678,plate,0.11,-1,
679,plate,0.12,-1,
681,plate,0.14,-1,
681,plate,0.13,-1,
682,plate,0.18,-1,
682,plate,0.13,-1,
683,plate,0.17,-1,
683,plate,0.16,-1,
683,plate,0.13,-1,
684,plate,0.22,-1,
685,plate,0.25,-1,
685,plate,0.21,-1,
685,plate,0.13,-1,
686,plate,0.19,-1,
686,plate,0.17,-1,
686,plate,0.12,-1,
686,plate,0.11,-1,
687,plate,0.16,-1,
688,plate,0.15,-1,
688,plate,0.11,-1,
689,plate,0.19,-1,
689,plate,0.16,-1,
690,plate,0.33,-1,
690,plate,0.31,-1,
690,plate,0.17,-1,
690,plate,0.13,-1,
690,plate,0.11,-1,
691,plate,0.24,-1,
691,plate,0.13,-1,
692,plate,0.33,-1,
692,plate,0.21,-1,
693,plate,0.30,-1,
693,plate,0.23,-1,
694,plate,0.28,-1,
694,plate,0.14,-1,
695,plate,0.20,-1,
695,plate,0.12,-1,
696,plate,0.17,-1,
697,plate,0.19,-1,
698,plate,0.23,-1,
699,plate,0.27,-1,
700,plate,0.26,-1,
700,plate,0.11,-1,
701,plate,0.20,-1,
702,plate,0.17,-1,
703,plate,0.24,-1,
703,plate,0.17,-1,
704,plate,0.19,-1,
705,plate,0.18,-1,
705,plate,0.16,-1,
706,plate,0.16,-1,
706,plate,0.14,-1,
707,plate,0.18,-1,
708,plate,0.18,-1,
709,plate,0.24,-1,
710,plate,0.21,-1,
710,plate,0.13,-1,
711,plate,0.19,-1,
711,plate,0.11,-1,
712,plate,0.23,-1,
713,plate,0.21,-1,
714,plate,0.21,-1,
715,plate,0.22,-1,
716,plate,0.19,-1,
717,plate,0.22,-1,
717,plate,0.11,-1,
717,plate,0.10,-1,
718,plate,0.23,-1,
718,plate,0.12,-1,
719,plate,0.19,-1,
720,plate,0.20,-1,
721,plate,0.17,-1,
722,plate,0.17,-1,
723,plate,0.16,-1,
724,plate,0.19,-1,
724,plate,0.15,-1,
725,plate,0.18,-1,
726,plate,0.17,-1,
727,plate,0.12,-1,
728,plate,0.12,-1,
730,plate,0.12,-1,
731,plate,0.10,-1,
739,plate,0.13,-1,
739,plate,0.10,-1,
741,plate,0.18,-1,
763,plate,0.12,-1,
764,plate,0.12,-1,
780,plate,0.11,-1,
781,plate,0.11,-1,
791,plate,0.10,-1,
792,plate,0.11,-1,
815,plate,0.16,-1,
815,plate,0.11,-1,
817,plate,0.21,-1,
817,plate,0.10,-1,
817,plate,0.10,-1,
819,plate,0.19,-1,
819,plate,0.15,-1,
819,plate,0.12,-1,
819,plate,0.10,-1,
820,plate,0.36,-1,
820,plate,0.11,-1,
821,plate,0.25,-1,
823,plate,0.21,-1,
823,plate,0.19,-1,
823,plate,0.10,-1,
825,plate,0.11,-1,
826,plate,0.20,-1,
826,plate,0.11,-1,
827,plate,0.13,-1,
828,plate,0.20,-1,
829,plate,0.20,-1,
829,plate,0.15,-1,
830,plate,0.11,-1,
831,plate,0.18,-1,
832,plate,0.10,-1,
834,plate,0.25,-1,
834,plate,0.16,-1,
835,plate,0.10,-1,
836,plate,0.11,-1,
839,plate,0.10,-1,
840,plate,0.16,-1,
841,plate,0.19,-1,
842,plate,0.14,-1,
843,plate,0.21,-1,
844,plate,0.13,-1,
851,plate,0.21,-1,
851,plate,0.14,-1,
867,plate,0.22,-1,
870,plate,0.13,-1,
872,plate,0.19,-1,
872,plate,0.12,-1,
873,plate,0.12,-1,
874,plate,0.18,-1,
875,plate,0.13,-1,
